[1, 'Leo', 909.0, 'Female', 9, 17, 4975]
[2, 'FakeAccountChange', 256.0, 'Male', 0, 0, 0]
[3, 'aneasytorememberuser', 256.0, 'Female', 0, 0, 1200]
[4, 'newUsername', 256.0, 'Male', 0, 0, 600]
[5, 'jijijkl', 256.0, 'Male', 0, 0, 400]
[6, 'xxx', 256.0, 'Male', 1, 0, 4900]
[7, 'Username', 256.0, 'Male', 1, 0, 200]
[8, 'Username2', 5.0, 'Male', 4, 37, 2200]
[9, 'peremy', 50.0, 'Male', 0, 0, 0]
[10, 'jjjj', 5.0, 'Male', 0, 0, 0]
[11, 'pppp', 256.0, 'Male', 0, 0, 0]
[12, 'ppow', 526.0, 'Male', 0, 0, 0]
[13, 'pjijk2', 25.0, 'Male', 1, 0, 200]
[14, 'plplpl', 256.0, 'Male', 0, 0, 0]
[15, 'popopo', 5.0, 'Male', 1, 0, 400]
[16, 'jijijlsdkjfs', 256.0, 'Male', 0, 0, 0]
[17, 'lklklk', 256.0, 'Male', 1, 0, 200]
[18, 'martinmci', 90.0, 'Male', 0, 0, 0]
[19, 'kljk', 256.0, 'Male', 0, 0, 0]
[20, 'asdfm', 256.0, 'Male', 0, 0, 0]
[21, 'jikjk', 2.0, 'Female', 1, 2, 0]
[22, 'ISAStudentHub', 5.0, 'Male', 0, 0, 0]
[23, 'aaa', 5.0, 'Male', 1, 0, 800]
[24, 'JohnSmith2', 500.0, 'Female', 1, 1, 0]
[25, 'JohnSmith3', 250.0, 'Female', 1, 0, 0]
[26, 'JohnSmith', 256.0, 'Male', 0, 0, 0]
[27, 'JeremyWilliamsonJJ', 200.0, 'Female', 1, 1, 0]
[28, 'Jimmay', 53.0, 'Male', 1, 0, 200]
[1, 'Leo2', 5.0, 'Male', 9, 17, 5375]
[2, 'FakeAccountChange', 256.0, 'Male', 0, 0, 0]
[3, 'aneasytorememberuser', 256.0, 'Female', 0, 0, 1200]
[4, 'newUsername', 256.0, 'Male', 0, 0, 600]
[5, 'jijijkl', 256.0, 'Male', 0, 0, 400]
[6, 'xxx', 256.0, 'Male', 1, 0, 4900]
[7, 'Username', 256.0, 'Male', 1, 0, 200]
[8, 'Username2', 5.0, 'Male', 4, 37, 2200]
[9, 'peremy', 50.0, 'Male', 0, 0, 0]
[10, 'jjjj', 5.0, 'Male', 0, 0, 0]
[11, 'pppp', 256.0, 'Male', 0, 0, 0]
[12, 'ppow', 526.0, 'Male', 0, 0, 0]
[13, 'pjijk2', 25.0, 'Male', 1, 0, 200]
[14, 'plplpl', 256.0, 'Male', 0, 0, 0]
[15, 'popopo', 5.0, 'Male', 1, 0, 400]
[16, 'jijijlsdkjfs', 256.0, 'Male', 0, 0, 0]
[17, 'lklklk', 256.0, 'Male', 1, 0, 200]
[18, 'martinmci', 90.0, 'Male', 0, 0, 0]
[19, 'kljk', 256.0, 'Male', 0, 0, 0]
[20, 'asdfm', 256.0, 'Male', 0, 0, 0]
[21, 'jikjk', 2.0, 'Female', 1, 2, 0]
[22, 'ISAStudentHub', 5.0, 'Male', 0, 0, 0]
[23, 'aaa', 5.0, 'Male', 1, 0, 800]
[24, 'JohnSmith2', 500.0, 'Female', 1, 1, 0]
[25, 'JohnSmith3', 250.0, 'Female', 1, 0, 0]
[26, 'JohnSmith', 256.0, 'Male', 0, 0, 0]
[27, 'JeremyWilliamsonJJ', 200.0, 'Female', 1, 1, 0]
[28, 'Jimmay', 53.0, 'Male', 1, 0, 200]
[29, 'Leo999', 5.0, 'Female', 0, 0, 200]
[30, 'asdf', 532.0, 'Male', 0, 0, 0]
[31, 'adsfasdf', 256.0, 'Male', 0, 0, 0]
[32, 'Leo', 22.5, 'Male', 0, 1, 195]
[33, 'Mary', 254.0, 'Male', 0, 0, 200]
[34, 'Mary-Jane-Watson', 5.0, 'Male', 0, 0, 400]
[35, 'mistoffelees', 254.0, 'Male', 0, 0, 200]
